2022-03-22 21:51:28.2895|Info|Now listening on: https://localhost:7272 |address=https://localhost:7272, EventId_Id=14, EventId_Name=ListeningOnAddress, EventId=ListeningOnAddress 
2022-03-22 21:51:28.3673|Info|Now listening on: http://localhost:5272 |address=http://localhost:5272, EventId_Id=14, EventId_Name=ListeningOnAddress, EventId=ListeningOnAddress 
2022-03-22 21:51:48.1034|Info|Запрос на добавление Deposit в контроллере | 
2022-03-22 21:51:48.1266|Info|Запрос на добавление Deposit | 
2022-03-22 21:51:48.1266|Info|Запрос на проверку валюты | 
2022-03-22 21:51:48.1633|Info|Подключение к базе данных. | 
2022-03-22 21:51:48.1662|Info|Подключение произведено. | 
2022-03-22 21:51:49.5590|Info|Транзакция типа Deposit с id = 49224119 добавлена в БД. | 
2022-03-22 21:51:49.5590|Info|Транзакция типа Deposit с id = 49224119 успешно добавлена | 
2022-03-24 14:51:05.1806|Info|Now listening on: https://localhost:7272 |address=https://localhost:7272, EventId_Id=14, EventId_Name=ListeningOnAddress, EventId=ListeningOnAddress 
2022-03-24 14:51:05.7014|Info|Now listening on: http://localhost:5272 |address=http://localhost:5272, EventId_Id=14, EventId_Name=ListeningOnAddress, EventId=ListeningOnAddress 
2022-03-24 14:51:46.0115|Info|Запрос на добавление Transfer в контроллере | 
2022-03-24 14:51:46.0563|Info|Запрос на добавление Transfer | 
2022-03-24 14:51:46.0563|Info|Запрос на проверку валюты | 
2022-03-24 14:51:46.0600|Info|Запрос на проверку валюты | 
2022-03-24 14:51:46.0600|Info|Запрос на конвертацию валюты с RSD в RUB  | 
2022-03-24 14:51:46.0900|Info|Валюта конвертирована | 
2022-03-24 14:51:46.1282|Info|Подключение к базе данных. | 
2022-03-24 14:51:46.1282|Info|Подключение произведено. | 
2022-03-24 14:51:48.1401|Debug|Exception: Unable to cast object of type 'System.Int32' to type 'System.Int64'. | 
2022-03-24 14:54:19.4556|Info|Now listening on: https://localhost:7272 |address=https://localhost:7272, EventId_Id=14, EventId_Name=ListeningOnAddress, EventId=ListeningOnAddress 
2022-03-24 14:54:19.5237|Info|Now listening on: http://localhost:5272 |address=http://localhost:5272, EventId_Id=14, EventId_Name=ListeningOnAddress, EventId=ListeningOnAddress 
2022-03-24 14:55:01.1420|Info|Запрос на добавление Transfer в контроллере | 
2022-03-24 14:55:07.7656|Info|Запрос на добавление Transfer | 
2022-03-24 14:55:16.6142|Info|Запрос на проверку валюты | 
2022-03-24 14:55:22.7903|Info|Запрос на проверку валюты | 
2022-03-24 14:55:29.5741|Info|Запрос на конвертацию валюты с RSD в RUB  | 
2022-03-24 14:55:51.5363|Info|Валюта конвертирована | 
2022-03-24 14:56:02.7257|Info|Подключение к базе данных. | 
2022-03-24 14:56:12.2265|Info|Подключение произведено. | 
2022-03-24 15:01:08.2152|Info|Now listening on: https://localhost:7272 |address=https://localhost:7272, EventId_Id=14, EventId_Name=ListeningOnAddress, EventId=ListeningOnAddress 
