2022-03-17 16:54:25.9399|Info|Now listening on: https://localhost:7272 |address=https://localhost:7272, EventId_Id=14, EventId_Name=ListeningOnAddress, EventId=ListeningOnAddress 
2022-03-17 16:54:26.0330|Info|Now listening on: http://localhost:5272 |address=http://localhost:5272, EventId_Id=14, EventId_Name=ListeningOnAddress, EventId=ListeningOnAddress 
2022-03-18 15:17:29.9841|Info|Now listening on: https://localhost:7272 |address=https://localhost:7272, EventId_Id=14, EventId_Name=ListeningOnAddress, EventId=ListeningOnAddress 
2022-03-18 15:17:30.0727|Info|Now listening on: http://localhost:5272 |address=http://localhost:5272, EventId_Id=14, EventId_Name=ListeningOnAddress, EventId=ListeningOnAddress 
2022-03-18 15:32:56.8035|Info|Now listening on: https://localhost:7272 |address=https://localhost:7272, EventId_Id=14, EventId_Name=ListeningOnAddress, EventId=ListeningOnAddress 
2022-03-18 15:32:56.8870|Info|Now listening on: http://localhost:5272 |address=http://localhost:5272, EventId_Id=14, EventId_Name=ListeningOnAddress, EventId=ListeningOnAddress 
2022-03-18 15:44:07.9819|Info|Now listening on: https://localhost:7272 |address=https://localhost:7272, EventId_Id=14, EventId_Name=ListeningOnAddress, EventId=ListeningOnAddress 
2022-03-18 15:44:08.0393|Info|Now listening on: http://localhost:5272 |address=http://localhost:5272, EventId_Id=14, EventId_Name=ListeningOnAddress, EventId=ListeningOnAddress 
2022-03-21 12:46:15.7308|Info|Now listening on: https://localhost:7272 |address=https://localhost:7272, EventId_Id=14, EventId_Name=ListeningOnAddress, EventId=ListeningOnAddress 
2022-03-21 12:46:15.7951|Info|Now listening on: http://localhost:5272 |address=http://localhost:5272, EventId_Id=14, EventId_Name=ListeningOnAddress, EventId=ListeningOnAddress 
2022-03-21 12:46:50.6322|Info|Запрос на получение всех транзакций по AccountId = 77 в контроллере | 
2022-03-21 12:46:50.6367|Info|Запрос на получение транзакциий по AccountId = 77 | 
2022-03-21 12:46:50.6663|Info|Подключение к базе данных. | 
2022-03-21 12:46:50.6663|Info|Подключение произведено. | 
2022-03-21 12:47:05.9002|Info|Транзакция по AccountId = 77 получены. | 
2022-03-21 12:49:56.0773|Info|Транзакция по AccountId = 77 успешно получены | 
2022-03-21 12:51:09.1024|Info|Now listening on: https://localhost:7272 |address=https://localhost:7272, EventId_Id=14, EventId_Name=ListeningOnAddress, EventId=ListeningOnAddress 
2022-03-21 12:51:09.1511|Info|Now listening on: http://localhost:5272 |address=http://localhost:5272, EventId_Id=14, EventId_Name=ListeningOnAddress, EventId=ListeningOnAddress 
2022-03-21 12:51:21.4218|Info|Запрос на получение всех транзакций по AccountId = 88 в контроллере | 
2022-03-21 12:51:21.4218|Info|Запрос на получение транзакциий по AccountId = 88 | 
2022-03-21 12:51:21.4417|Info|Подключение к базе данных. | 
2022-03-21 12:51:21.4417|Info|Подключение произведено. | 
2022-03-21 12:51:34.1326|Info|Транзакция по AccountId = 88 получены. | 
